Specimen number (included),10
Modulus (Automatic Young's),"268,515.51151",MPa
Length,"26.00000",mm
Specimen ID,"0039"
Thickness,"2.03600",mm
Width,"10.11000",mm
Tensile stress at Tensile strength,"805.47852",MPa
Tensile strain (Strain 1) at Tensile strength,"0.03601",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.00000","-0.00169","496.73795","-0.0012","24.1323"
"0.10000","-0.00156","496.97263","-0.0011","24.1437"
"0.20000","0.00000","524.19006","-0.0006","25.4659"
"0.30000","0.00275","589.81140","0.0004","28.6539"
"0.40000","0.00487","659.23511","0.0017","32.0266"
"0.50000","0.00644","695.93604","0.0027","33.8096"
"0.60000","0.00825","733.34717","0.0032","35.6271"
"0.70000","0.01037","778.95703","0.0037","37.8429"
"0.80000","0.01162","810.86157","0.0043","39.3929"
"0.90000","0.01287","828.40204","0.0046","40.2450"
"1.00000","0.01519","875.28442","0.0055","42.5226"
"1.10000","0.01662","903.70996","0.0060","43.9036"
"1.20000","0.01819","932.64136","0.0065","45.3091"
"1.30000","0.01994","961.55396","0.0072","46.7137"
"1.40000","0.02206","999.78448","0.0079","48.5710"
"1.50000","0.02337","1,026.86133","0.0085","49.8865"
"1.60000","0.02450","1,039.19800","0.0084","50.4858"
"1.70000","0.02675","1,078.24158","0.0094","52.3826"
"1.80000","0.02844","1,108.12952","0.0097","53.8346"
"1.90000","0.02981","1,129.19812","0.0102","54.8582"
"2.00000","0.03156","1,152.12561","0.0101","55.9720"
"2.10000","0.03356","1,185.94324","0.0109","57.6149"
"2.20000","0.03519","1,213.71716","0.0113","58.9642"
"2.30000","0.03625","1,220.69385","0.0117","59.3032"
"2.40000","0.03837","1,253.23181","0.0122","60.8839"
"2.50000","0.04006","1,281.60742","0.0126","62.2624"
"2.60000","0.04156","1,299.82092","0.0130","63.1473"
"2.70000","0.04312","1,320.30627","0.0132","64.1425"
"2.80000","0.04506","1,348.22839","0.0140","65.4990"
"2.90000","0.04694","1,378.17798","0.0145","66.9540"
"3.00000","0.04794","1,381.95496","0.0146","67.1375"
"3.10000","0.04987","1,406.45605","0.0150","68.3278"
"3.20000","0.05169","1,436.34338","0.0153","69.7797"
"3.30000","0.05325","1,452.56140","0.0156","70.5676"
"3.40000","0.05481","1,469.57666","0.0161","71.3943"
"3.50000","0.05675","1,495.83618","0.0164","72.6700"
"3.60000","0.05869","1,521.35547","0.0170","73.9098"
"3.70000","0.05969","1,524.00159","0.0167","74.0383"
"3.80000","0.06144","1,544.32410","0.0172","75.0256"
"3.90000","0.06344","1,575.64526","0.0180","76.5472"
"4.00000","0.06500","1,587.72620","0.0182","77.1341"
"4.10000","0.06650","1,602.62695","0.0183","77.8580"
"4.20000","0.06837","1,625.60266","0.0189","78.9742"
"4.30000","0.07044","1,651.52014","0.0192","80.2334"
"4.40000","0.07144","1,654.43835","0.0193","80.3751"
"4.50000","0.07300","1,668.09546","0.0193","81.0386"
"4.60000","0.07519","1,702.88867","0.0202","82.7289"
"4.70000","0.07669","1,712.80786","0.0202","83.2108"
"4.80000","0.07806","1,724.55212","0.0204","83.7814"
"4.90000","0.08000","1,745.85974","0.0210","84.8165"
"5.00000","0.08212","1,771.00171","0.0210","86.0379"
"5.10000","0.08319","1,775.80188","0.0216","86.2711"
"5.20000","0.08456","1,785.08569","0.0215","86.7222"
"5.30000","0.08687","1,818.34192","0.0223","88.3378"
"5.40000","0.08837","1,827.91553","0.0222","88.8029"
"5.50000","0.08975","1,840.39978","0.0227","89.4094"
"5.60000","0.09169","1,858.92297","0.0229","90.3093"
"5.70000","0.09381","1,884.67749","0.0232","91.5605"
"5.80000","0.09494","1,888.49792","0.0235","91.7461"
"5.90000","0.09619","1,895.74622","0.0236","92.0982"
"6.00000","0.09850","1,927.05750","0.0240","93.6194"
"6.10000","0.10006","1,937.05042","0.0242","94.1049"
"6.20000","0.10156","1,949.44141","0.0246","94.7068"
"6.30000","0.10331","1,964.90198","0.0248","95.4579"
"6.40000","0.10537","1,987.12402","0.0253","96.5375"
"6.50000","0.10669","1,996.93250","0.0248","97.0140"
"6.60000","0.10787","2,000.36462","0.0255","97.1807"
"6.70000","0.11012","2,028.53662","0.0261","98.5494"
"6.80000","0.11175","2,042.05249","0.0263","99.2060"
"6.90000","0.11319","2,052.04736","0.0264","99.6916"
"7.00000","0.11487","2,065.72998","0.0264","100.3563"
"7.10000","0.11694","2,086.36108","0.0269","101.3586"
"7.20000","0.11850","2,099.94751","0.0271","102.0186"
"7.30000","0.11956","2,100.61572","0.0270","102.0511"
"7.40000","0.12169","2,124.00879","0.0276","103.1876"
"7.50000","0.12337","2,140.37280","0.0280","103.9826"
"7.60000","0.12494","2,150.70190","0.0281","104.4844"
"7.70000","0.12650","2,162.65845","0.0284","105.0652"
"7.80000","0.12850","2,181.52686","0.0285","105.9819"
"7.90000","0.13025","2,196.72705","0.0291","106.7203"
"8.00000","0.13125","2,196.23584","0.0288","106.6965"
"8.10000","0.13319","2,215.86719","0.0294","107.6502"
"8.20000","0.13506","2,235.06738","0.0297","108.5830"
"8.30000","0.13662","2,243.92090","0.0298","109.0131"
"8.40000","0.13819","2,254.87256","0.0301","109.5451"
"8.50000","0.14006","2,273.80957","0.0300","110.4651"
"8.60000","0.14200","2,289.60938","0.0306","111.2327"
"8.70000","0.14300","2,288.76929","0.0304","111.1919"
"8.80000","0.14475","2,303.98218","0.0309","111.9310"
"8.90000","0.14681","2,327.78149","0.0313","113.0872"
"9.00000","0.14831","2,333.49683","0.0315","113.3648"
"9.10000","0.14981","2,343.61597","0.0318","113.8564"
"9.20000","0.15175","2,362.46826","0.0321","114.7723"
"9.30000","0.15375","2,379.19385","0.0324","115.5848"
"9.40000","0.15475","2,378.57104","0.0324","115.5546"
"9.50000","0.15637","2,389.57422","0.0328","116.0891"
"9.60000","0.15844","2,415.14087","0.0329","117.3312"
"9.70000","0.16000","2,419.88062","0.0333","117.5615"
"9.80000","0.16150","2,429.75537","0.0331","118.0412"
"9.90000","0.16337","2,446.96021","0.0334","118.8770"
"10.00000","0.16544","2,463.88501","0.0338","119.6993"
"10.10000","0.16650","2,464.66016","0.0341","119.7369"
"10.20000","0.16794","2,472.44580","0.0342","120.1152"
"10.30000","0.17019","2,499.46777","0.0345","121.4279"
"10.40000","0.17162","2,503.97363","0.0345","121.6468"
"10.50000","0.17319","2,513.59497","0.0347","122.1143"
"10.60000","0.17506","2,529.34229","0.0351","122.8793"
"10.70000","0.17700","2,544.18726","0.0353","123.6005"
"10.80000","0.17825","2,548.91699","0.0355","123.8303"
"10.90000","0.17950","2,552.50659","0.0357","124.0046"
"11.00000","0.18181","2,579.67676","0.0359","125.3246"
"11.10000","0.18331","2,584.68237","0.0360","125.5678"
"11.20000","0.18481","2,593.90894","0.0363","126.0160"
"11.30000","0.18669","2,607.44287","0.0366","126.6735"
"11.40000","0.18869","2,623.28833","0.0368","127.4433"
"11.50000","0.19006","2,630.49780","0.0368","127.7936"
"11.60000","0.19119","2,631.69727","0.0372","127.8518"
"11.70000","0.19344","2,655.84888","0.0374","129.0252"
"11.80000","0.19506","2,664.61328","0.0375","129.4510"
"11.90000","0.19650","2,672.70166","0.0380","129.8439"
"12.00000","0.19831","2,685.00562","0.0379","130.4417"
"12.10000","0.20019","2,698.78223","0.0382","131.1109"
"12.20000","0.20187","2,709.88623","0.0383","131.6504"
"12.30000","0.20287","2,707.40723","0.0383","131.5300"
"12.40000","0.20494","2,727.71338","0.0389","132.5164"
"12.50000","0.20675","2,740.74707","0.0389","133.1497"
"12.60000","0.20825","2,747.32886","0.0391","133.4694"
"12.70000","0.20987","2,756.49365","0.0393","133.9146"
"12.80000","0.21175","2,770.81201","0.0398","134.6103"
"12.90000","0.21356","2,782.27881","0.0399","135.1673"
"13.00000","0.21456","2,776.68042","0.0399","134.8954"
"13.10000","0.21656","2,794.22290","0.0402","135.7476"
"13.20000","0.21844","2,809.07520","0.0402","136.4691"
