Specimen number (included),2
Modulus (Automatic Young's),"187,336.68527",MPa
Length,"26.00000",mm
Specimen ID,"008"
Thickness,"1.96500",mm
Width,"10.14700",mm
Tensile stress at Tensile strength,"183.72810",MPa
Tensile strain (Strain 1) at Tensile strength,"0.01735",mm/mm

Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(%),(MPa)
"0.00000","0.00812","497.79568","-0.0008","24.9661"
"0.10000","0.00831","498.45093","-0.0008","24.9990"
"0.20000","0.01069","528.28400","-0.0002","26.4952"
"0.30000","0.01256","585.74036","0.0014","29.3768"
"0.40000","0.01475","620.79828","0.0026","31.1351"
"0.50000","0.01644","659.85089","0.0037","33.0937"
"0.60000","0.01806","686.76581","0.0047","34.4436"
"0.70000","0.01969","712.71381","0.0049","35.7450"
"0.80000","0.02162","743.45496","0.0059","37.2867"
"0.90000","0.02344","774.57703","0.0068","38.8476"
"1.00000","0.02444","784.15601","0.0070","39.3280"
"1.10000","0.02637","808.81714","0.0077","40.5649"
"1.20000","0.02825","841.18835","0.0086","42.1884"
"1.30000","0.02975","860.35504","0.0090","43.1497"
"1.40000","0.03125","879.18530","0.0095","44.0941"
"1.50000","0.03325","906.05182","0.0101","45.4415"
"1.60000","0.03519","934.64691","0.0109","46.8757"
"1.70000","0.03619","942.49536","0.0111","47.2693"
"1.80000","0.03794","960.22412","0.0115","48.1584"
"1.90000","0.03994","993.60748","0.0126","49.8327"
"2.00000","0.04144","1,007.33618","0.0127","50.5213"
"2.10000","0.04294","1,023.88263","0.0131","51.3511"
"2.20000","0.04481","1,047.56262","0.0143","52.5388"
"2.30000","0.04694","1,074.73877","0.0147","53.9017"
"2.40000","0.04794","1,082.23242","0.0151","54.2776"
"2.50000","0.04950","1,095.52271","0.0154","54.9441"
"2.60000","0.05162","1,126.35559","0.0164","56.4905"
"2.70000","0.05312","1,140.34570","0.0168","57.1921"
"2.80000","0.05462","1,155.16443","0.0174","57.9353"
"2.90000","0.05650","1,175.05896","0.0179","58.9331"
"2.98800","0.05837","1,196.53162","0.0186","60.0100"
"21.19600","0.05850","1,134.13416","0.0191","56.8806"
"21.30000","0.05850","1,133.57922","0.0191","56.8528"
"21.40000","0.05925","1,139.60388","0.0220","57.1549"
"21.50000","0.06137","1,177.48010","0.0301","59.0546"
"21.60000","0.06419","1,243.93457","0.0410","62.3875"
"21.70000","0.06581","1,276.64221","0.0472","64.0279"
"21.80000","0.06750","1,303.63977","0.0537","65.3819"
"21.90000","0.06950","1,331.27808","0.0614","66.7680"
"22.00000","0.07119","1,351.51746","0.0679","67.7831"
"22.10000","0.07219","1,353.73413","0.0717","67.8943"
"22.20000","0.07425","1,373.17029","0.0797","68.8691"
"22.30000","0.07606","1,393.39282","0.0866","69.8833"
"22.40000","0.07756","1,403.13318","0.0924","70.3718"
"22.50000","0.07906","1,413.24573","0.0982","70.8790"
